SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
operations-9.concurrent-sessions,Operations,VCF Operations must limit the number of concurrent sessions.,P0,IAC-23,"T1137, T1137.002, T1185, T1528"
operations-9.firewall-hardening,Operations,VCF Operations must enable firewall hardening.,P0,NET-03,"T1001, T1001.001, T1001.002, T1001.003, T1008, T1020.001, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1029, T1030, T1036.008, T1041, T1046, T1048, T1048.001, T1048.002, T1048.003, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1072, T1078, T1080, T1090, T1090.001, T1090.002, T1090.003, T1095, T1098, T1098.001, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1114, T1114.003, T1132, T1132.001, T1132.002, T1133, T1136, T1136.002, T1136.003, T1176, T1187, T1189, T1190, T1197, T1199, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1211, T1212, T1218, T1218.012, T1218.015, T1219, T1221, T1482, T1489, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1530, T1537, T1542, T1542.004, T1542.005, T1552, T1552.001, T1552.004, T1552.005, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1559, T1559.001, T1559.002, T1560, T1560.001, T1563, T1563.002, T1565, T1565.001, T1565.003, T1566, T1566.001, T1566.002, T1566.003, T1567, T1567.001, T1567.002, T1567.003, T1567.004, T1568, T1568.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1590.002, T1598, T1598.001, T1598.002, T1598.003, T1599, T1599.001, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1648, T1659"
operations-9.in-page-feedback,Operations,Disable VCF Operations in-page feedback.,P1,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
operations-9.login-message,Operations,Configure the VCF Operations login banner.,P1,SEA-18,T1199
operations-9.logs-ssl-api,Operations,Enable SSL for API log ingestion in VCF Operations.,P2,"CRY-03, CRY-04","T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
operations-9.logs-ssl-syslog,Operations,Enable SSL for syslog log ingestion in VCF Operations.,P2,"CRY-03, CRY-04","T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
operations-9.non-imported-vidm,Operations,Restrict VCF Operations access to imported identity-provider users.,P0,IAC-20,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1005, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.007, T1021.008, T1025, T1027, T1036, T1036.003, T1036.005, T1036.010, T1037, T1037.002, T1037.003, T1037.004, T1037.005, T1041, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.008, T1055.009, T1056.003, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.009, T1059.010, T1059.011, T1070, T1070.001, T1070.002, T1070.003, T1070.007, T1070.008, T1070.009, T1071.004, T1072, T1078, T1078.002, T1078.003, T1078.004, T1080, T1087.004, T1090, T1090.003, T1091, T1095, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.006, T1098.007, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1114, T1114.002, T1133, T1134, T1134.001, T1134.002, T1134.003, T1134.005, T1136, T1136.001, T1136.002, T1136.003, T1185, T1187, T1190, T1195, T1197, T1199, T1200, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.003, T1213.004, T1213.005, T1218, T1218.002, T1218.007, T1218.012, T1219, T1222, T1222.001, T1222.002, T1484, T1485, T1485.001, T1486, T1489, T1490, T1491, T1491.001, T1491.002, T1495, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505, T1505.002, T1505.003, T1505.004, T1505.005, T1525, T1528, T1530, T1537, T1538, T1539, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1543.005, T1546, T1546.003, T1546.004, T1546.013, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.002, T1548.003, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.002, T1552.005, T1552.007, T1553, T1553.003, T1555, T1555.002, T1555.005, T1555.006, T1556, T1556.001, T1556.003, T1556.004, T1556.006, T1556.007, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1558, T1558.001, T1558.002, T1558.003, T1558.004, T1558.005, T1559, T1559.001, T1561, T1561.001, T1561.002, T1562, T1562.001, T1562.002, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.012, T1563, T1563.001, T1563.002, T1564.004, T1565, T1565.001, T1565.003, T1567, T1569, T1569.001, T1569.002, T1570, T1572, T1574, T1574.004, T1574.005, T1574.007, T1574.008, T1574.009, T1574.010, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1578.005, T1580, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1606, T1606.001, T1606.002, T1609, T1610, T1611, T1612, T1613, T1619, T1622, T1647, T1648, T1651, T1654"
operations-9.session-timeout,Operations,VCF Operations must enforce an idle session timeout.,P0,IAC-25,"T1021.001, T1072, T1185, T1505.005, T1563, T1563.002"
pnr-9.ssh,Protection and Recovery,The VCF Protection and Recovery appliance SSH service must be deactivated except for temporary diagnostic use.,P0,"CFG-03, NET-14","T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.009, T1059.010, T1068, T1070, T1070.001, T1070.002, T1070.008, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1114, T1114.001, T1114.002, T1114.003, T1119, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1137, T1137.002, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1505.005, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1550.001, T1552, T1552.002, T1552.003, T1552.004, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1558, T1558.002, T1558.003, T1558.004, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.001, T1565.002, T1565.003, T1567.003, T1567.004, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1619, T1622, T1647, T1648, T1651, T1653, T1659"
sddc-9.basic-auth-disable,SDDC Manager,Disable HTTP Basic Authentication on the SDDC Manager API.,P0,IAC-10,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1021, T1021.001, T1021.004, T1021.007, T1021.008, T1040, T1072, T1078, T1078.002, T1078.004, T1098.001, T1098.002, T1098.003, T1098.004, T1098.006, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1111, T1114, T1114.002, T1133, T1136, T1136.001, T1136.002, T1136.003, T1212, T1528, T1530, T1539, T1550.003, T1552, T1552.001, T1552.002, T1552.004, T1552.006, T1555, T1555.001, T1555.002, T1555.004, T1555.005, T1556, T1556.001, T1556.003, T1556.004, T1556.005, T1556.009, T1558, T1558.001, T1558.002, T1558.003, T1558.004, T1558.005, T1563.001, T1599, T1599.001, T1601, T1601.001, T1601.002, T1621, T1649"
vcenter-9.account-lockout-duration,vCenter,Set the vCenter account auto-unlock interval.,P2,IAC-22,"T1021, T1021.001, T1021.004, T1078.002, T1078.004, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1133, T1530, T1556, T1556.001, T1556.003, T1556.004"
vcenter-9.account-lockout-max-attempts,vCenter,Lock vCenter accounts after repeated failed login attempts.,P2,IAC-22,"T1021, T1021.001, T1021.004, T1078.002, T1078.004, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1133, T1530, T1556, T1556.001, T1556.003, T1556.004"
vcenter-9.account-lockout-reset,vCenter,Set the vCenter failed-login counting interval.,P1,IAC-22,"T1021, T1021.001, T1021.004, T1078.002, T1078.004, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1133, T1530, T1556, T1556.001, T1556.003, T1556.004"
vcenter-9.administration-client-plugins,vCenter,Reduce or eliminate third-party vCenter plugins.,P1,TPM-04,"T1041, T1048, T1048.002, T1048.003, T1072, T1567"
vcenter-9.ceip-disable,vCenter,Disable the vCenter Customer Experience Improvement Program.,P1,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vcenter-9.client-feedback,vCenter,Disable vSphere Client in-product feedback.,P1,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vcenter-9.client-telemetry,vCenter,Disable vSphere Client UI telemetry.,P1,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vcenter-9.etc-issue,vCenter,Configure the vCenter SSH login banner (/etc/issue).,P1,SEA-18,T1199
vcenter-9.login-message,vCenter,Configure the vCenter login banner for the vSphere Client.,P1,SEA-18,T1199
vcenter-9.network-mac-learning,vCenter,Disable MAC learning on distributed switch port groups unless a workload requires it.,P2,NET-03,"T1001, T1001.001, T1001.002, T1001.003, T1008, T1020.001, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1029, T1030, T1036.008, T1041, T1046, T1048, T1048.001, T1048.002, T1048.003, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1072, T1078, T1080, T1090, T1090.001, T1090.002, T1090.003, T1095, T1098, T1098.001, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1114, T1114.003, T1132, T1132.001, T1132.002, T1133, T1136, T1136.002, T1136.003, T1176, T1187, T1189, T1190, T1197, T1199, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1211, T1212, T1218, T1218.012, T1218.015, T1219, T1221, T1482, T1489, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1530, T1537, T1542, T1542.004, T1542.005, T1552, T1552.001, T1552.004, T1552.005, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1559, T1559.001, T1559.002, T1560, T1560.001, T1563, T1563.002, T1565, T1565.001, T1565.003, T1566, T1566.001, T1566.002, T1566.003, T1567, T1567.001, T1567.002, T1567.003, T1567.004, T1568, T1568.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1590.002, T1598, T1598.001, T1598.002, T1598.003, T1599, T1599.001, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1648, T1659"
vcenter-9.network-nioc,vCenter,Enable Network I/O Control on distributed switches.,P2,"CAP-02, NET-02.1","T1496.003, T1564.009"
vcenter-9.network-reject-forged-transmit-dvportgroup,vCenter,Reject forged transmits on distributed switches and port groups.,P2,NET-03,"T1001, T1001.001, T1001.002, T1001.003, T1008, T1020.001, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1029, T1030, T1036.008, T1041, T1046, T1048, T1048.001, T1048.002, T1048.003, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1072, T1078, T1080, T1090, T1090.001, T1090.002, T1090.003, T1095, T1098, T1098.001, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1114, T1114.003, T1132, T1132.001, T1132.002, T1133, T1136, T1136.002, T1136.003, T1176, T1187, T1189, T1190, T1197, T1199, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1211, T1212, T1218, T1218.012, T1218.015, T1219, T1221, T1482, T1489, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1530, T1537, T1542, T1542.004, T1542.005, T1552, T1552.001, T1552.004, T1552.005, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1559, T1559.001, T1559.002, T1560, T1560.001, T1563, T1563.002, T1565, T1565.001, T1565.003, T1566, T1566.001, T1566.002, T1566.003, T1567, T1567.001, T1567.002, T1567.003, T1567.004, T1568, T1568.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1590.002, T1598, T1598.001, T1598.002, T1598.003, T1599, T1599.001, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1648, T1659"
vcenter-9.network-reject-mac-changes-dvportgroup,vCenter,Reject guest MAC address changes on distributed switches and port groups.,P2,NET-03,"T1001, T1001.001, T1001.002, T1001.003, T1008, T1020.001, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1029, T1030, T1036.008, T1041, T1046, T1048, T1048.001, T1048.002, T1048.003, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1072, T1078, T1080, T1090, T1090.001, T1090.002, T1090.003, T1095, T1098, T1098.001, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1114, T1114.003, T1132, T1132.001, T1132.002, T1133, T1136, T1136.002, T1136.003, T1176, T1187, T1189, T1190, T1197, T1199, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1211, T1212, T1218, T1218.012, T1218.015, T1219, T1221, T1482, T1489, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1530, T1537, T1542, T1542.004, T1542.005, T1552, T1552.001, T1552.004, T1552.005, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1559, T1559.001, T1559.002, T1560, T1560.001, T1563, T1563.002, T1565, T1565.001, T1565.003, T1566, T1566.001, T1566.002, T1566.003, T1567, T1567.001, T1567.002, T1567.003, T1567.004, T1568, T1568.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1590.002, T1598, T1598.001, T1598.002, T1598.003, T1599, T1599.001, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1648, T1659"
vcenter-9.network-reject-promiscuous-mode-dvportgroup,vCenter,Reject promiscuous mode on distributed switches and port groups.,P2,NET-04,"T1001, T1001.001, T1001.002, T1001.003, T1003, T1003.001, T1003.005, T1003.006, T1008, T1020.001, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1029, T1030, T1041, T1046, T1048, T1048.001, T1048.002, T1048.003, T1068, T1070.008, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1072, T1090, T1090.001, T1090.002, T1090.003, T1095, T1098, T1098.001, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1114, T1114.001, T1114.002, T1114.003, T1132, T1132.001, T1132.002, T1133, T1134.005, T1136, T1136.002, T1136.003, T1187, T1189, T1190, T1197, T1199, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1205.002, T1210, T1211, T1212, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1218, T1218.012, T1219, T1482, T1484, T1489, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1528, T1530, T1537, T1547.003, T1552, T1552.001, T1552.005, T1552.007, T1552.008, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1559, T1559.001, T1559.002, T1563, T1563.002, T1564.008, T1565, T1565.003, T1566, T1566.001, T1566.002, T1566.003, T1567, T1567.001, T1567.002, T1567.003, T1567.004, T1568, T1568.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.004, T1574.005, T1574.007, T1574.008, T1574.009, T1574.010, T1590.002, T1598, T1598.001, T1598.002, T1598.003, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1611, T1622, T1654, T1659"
